Rank,Stadium,Seating capacity,Region,Country,City,Home team(s),location
53,Estádio Nacional Mané Garrincha,72788,South America,Brazil,"Brasília, Distrito Federal","Brasília FC, Legião FC","[-15.783749799999999, -47.8990287459102]"
54,Stadio Olimpico,72698,Europe,Italy,"Rome, Lazio","AS Roma, Lazio","[41.933942349999995, 12.454770497133222]"
55,Nissan Stadium,72327,East Asia,Japan,"Yokohama, Kanagawa","Yokohama F. Marinos, Yokohama Eagles","[35.5099882, 139.60638254387774]"
56,NRG Stadium,72220,North America,United States,"Houston, Texas","Houston Texans, Houston Dynamo FC","[29.6848581, -95.41080145326987]"
57,Shanghai Stadium,72000,East Asia,China,Shanghai,Shanghai Shenhua,"[31.1833432, 121.43737094361052]"
58,M&T Bank Stadium,71008,North America,United States,Baltimore,Baltimore Ravens,"[39.2779734, -76.62266511553918]"
59,Mercedes-Benz Stadium,71000,North America,United States,"Atlanta, Georgia","Atlanta United FC, Atlanta Falcons","[33.7554123, -84.40084932004368]"
60,Cívitas Metropolitano,70460,Europe,Spain,Madrid,Atlético de Madrid,"[40.436052950000004, -3.599715809726445]"
61,Olympic National Sports Complex Stadium,70000,Europe,Ukraine,Kyiv,"Ukraine national football team, FC Dynamo Kyiv","[50.43339675, 30.52301744390926]"
62,SoFi Stadium,70000,North America,United States,"Inglewood, California",No team,"[33.95340735, -118.33900981025587]"
63,Seoul Olympic Stadium,69950,East Asia,South Korea,Seoul,No team,"[37.51586315, 127.07278913760146]"
64,Bakı Olimpiya stadionu,69870,West Asia,Azerbaijan,Baku,Azerbaijan national football team,"[40.429982, 49.91953099830299]"
65,Olympic Stadium,69618,Europe,Greece,"Marousi, Attica",Greece national football team,"[38.0325514, 23.7944433]"
66,Olympiastadion München,69250,Europe,Germany,Munich,No team,"[48.1731314, 11.54647863541194]"
67,Lumen Field,69000,North America,United States,"Seattle, Washington","Seattle Sounders FC, Seattle Seahawks","[47.5953459, -122.33164431196111]"
